Setting,App,Feature,Precision,Recall,F1
within_apps,addressbook,content,1.0,1.0,1.0
within_apps,claroline,content,1.0,0.8888888888888888,0.9411764705882353
within_apps,dimeshift,content,0.9473684210526315,0.8571428571428571,0.9
within_apps,mantisbt,content,0.9361702127659575,0.8301886792452831,0.88
within_apps,mrbs,content,1.0,1.0,1.0
within_apps,pagekit,content,0.9,0.9,0.9
within_apps,petclinic,content,1.0,1.0,1.0
within_apps,phoenix,content,1.0,1.0,1.0
within_apps,ppma,content,1.0,0.6086956521739131,0.7567567567567568
