Setting,App,Feature,Precision,Recall,F1
across_apps,addressbook,content_tags,0.9964711071901192,0.9964711071901192,0.9964711071901192
across_apps,claroline,content_tags,1.0,1.0,1.0
across_apps,ppma,content_tags,1.0,1.0,1.0
across_apps,mrbs,content_tags,0.693950177935943,0.693950177935943,0.693950177935943
across_apps,mantisbt,content_tags,0.9569049951028404,0.9569049951028404,0.9569049951028404
across_apps,dimeshift,content_tags,0.1156211562115621,0.1156211562115621,0.1156211562115621
across_apps,pagekit,content_tags,0.2378048780487804,0.2378048780487804,0.2378048780487804
across_apps,phoenix,content_tags,0.8674429019256605,0.8674429019256605,0.8674429019256605
across_apps,petclinic,content_tags,0.6722972972972973,0.6722972972972973,0.6722972972972973
across_apps,addressbook,content,0.9695632995147772,0.9695632995147772,0.9695632995147772
across_apps,claroline,content,1.0,1.0,1.0
across_apps,ppma,content,0.0,0.0,0.0
across_apps,mrbs,content,0.9768683274021353,0.9768683274021353,0.9768683274021353
across_apps,mantisbt,content,0.9285014691478942,0.9285014691478942,0.9285014691478942
across_apps,dimeshift,content,0.2976629766297663,0.2976629766297663,0.2976629766297663
across_apps,pagekit,content,0.851078799249531,0.851078799249531,0.851078799249531
across_apps,phoenix,content,0.7389162561576355,0.7389162561576355,0.7389162561576355
across_apps,petclinic,content,0.775,0.775,0.775
across_apps,addressbook,tags,0.0255844728716365,0.0255844728716365,0.0255844728716365
across_apps,claroline,tags,1.0,1.0,1.0
across_apps,ppma,tags,1.0,1.0,1.0
across_apps,mrbs,tags,0.970767666497204,0.970767666497204,0.970767666497204
across_apps,mantisbt,tags,1.0,1.0,1.0
across_apps,dimeshift,tags,0.4944649446494465,0.4944649446494465,0.4944649446494465
across_apps,pagekit,tags,0.2070825515947467,0.2070825515947467,0.2070825515947467
across_apps,phoenix,tags,0.0008956560680698,0.0008956560680698,0.0008956560680698
across_apps,petclinic,tags,0.0,0.0,0.0
