Setting,App,Feature,Precision,Recall,F1
within_apps,addressbook,content_tags,1.0,1.0,1.0
within_apps,claroline,content_tags,1.0,1.0,1.0
within_apps,ppma,content_tags,1.0,1.0,1.0
within_apps,mrbs,content_tags,1.0,1.0,1.0
within_apps,mantisbt,content_tags,1.0,1.0,1.0
within_apps,dimeshift,content_tags,1.0,1.0,1.0
within_apps,pagekit,content_tags,1.0,1.0,1.0
within_apps,phoenix,content_tags,1.0,1.0,1.0
within_apps,petclinic,content_tags,1.0,1.0,1.0
within_apps,addressbook,content,1.0,1.0,1.0
within_apps,claroline,content,1.0,1.0,1.0
within_apps,ppma,content,1.0,1.0,1.0
within_apps,mrbs,content,1.0,1.0,1.0
within_apps,mantisbt,content,1.0,1.0,1.0
within_apps,dimeshift,content,1.0,1.0,1.0
within_apps,pagekit,content,1.0,1.0,1.0
within_apps,phoenix,content,1.0,1.0,1.0
within_apps,petclinic,content,1.0,1.0,1.0
within_apps,addressbook,tags,1.0,1.0,1.0
within_apps,claroline,tags,1.0,1.0,1.0
within_apps,ppma,tags,1.0,1.0,1.0
within_apps,mrbs,tags,1.0,1.0,1.0
within_apps,mantisbt,tags,1.0,1.0,1.0
within_apps,dimeshift,tags,1.0,1.0,1.0
within_apps,pagekit,tags,1.0,1.0,1.0
within_apps,phoenix,tags,1.0,1.0,1.0
within_apps,petclinic,tags,1.0,1.0,1.0
