App,Model,Embedding,Classifier,Accuracy,Precision,Recall,F1_0,F1_1
addressbook,DS_DOM_RTED_modelsize100epoch31,DOM_RTED,Dummy,0.6016696481812761,0.7286307053941908,0.7202625102543068,0.2817204301075269,0.7244224422442244
addressbook,DS_DOM_RTED_modelsize100epoch31,DOM_RTED,Threshold,0.0097606556638821,1.0,0.0097606556638821,0.0193326123554792,0.0193326123554792
addressbook,DS_DOM_RTED_modelsize100epoch31,DOM_RTED,Nearest Neighbors,0.8998211091234347,0.9089494163424124,0.9581624282198524,0.8023529411764706,0.9329073482428116
addressbook,DS_DOM_RTED_modelsize100epoch31,DOM_RTED,SVM RBF,0.8700059630292188,0.8962787015043547,0.9286300246103364,0.75,0.9121676067687348
addressbook,DS_DOM_RTED_modelsize100epoch31,DOM_RTED,Decision Tree,0.9039952295766248,0.93218954248366,0.9360131255127152,0.823271130625686,0.9340974212034384
addressbook,DS_DOM_RTED_modelsize100epoch31,DOM_RTED,Gaussian Naive Bayes,0.8700059630292188,0.8962787015043547,0.9286300246103364,0.75,0.9121676067687348
addressbook,DS_DOM_RTED_modelsize100epoch31,DOM_RTED,Random Forest,0.9039952295766248,0.93218954248366,0.9360131255127152,0.823271130625686,0.9340974212034384
addressbook,DS_DOM_RTED_modelsize100epoch31,DOM_RTED,Ensemble,0.9063804412641622,0.9154929577464788,0.95980311730927,0.8168028004667445,0.9371245494593512
addressbook,DS_DOM_RTED_modelsize100epoch31,DOM_RTED,Neural Network,0.8700059630292188,0.8864864864864865,0.9417555373256769,0.7404761904761904,0.913285600636436
addressbook,DS_VISUAL_PDiff_modelsize100epoch31,VISUAL_PDiff,Dummy,0.6159809183064997,0.7417998317914214,0.7235438884331419,0.3192389006342495,0.7325581395348837
addressbook,DS_VISUAL_PDiff_modelsize100epoch31,VISUAL_PDiff,Threshold,0.061040686285547,1.0,0.061040686285547,0.1150581444699091,0.1150581444699091
addressbook,DS_VISUAL_PDiff_modelsize100epoch31,VISUAL_PDiff,Nearest Neighbors,0.7817531305903399,0.8209179834462002,0.8949958982772764,0.5459057071960297,0.8563579277864993
addressbook,DS_VISUAL_PDiff_modelsize100epoch31,VISUAL_PDiff,SVM RBF,0.7268932617769827,0.7268932617769827,1.0,0.0,0.8418508287292816
addressbook,DS_VISUAL_PDiff_modelsize100epoch31,VISUAL_PDiff,Decision Tree,0.7394156231365534,0.8173701298701299,0.8260869565217391,0.5160575858250277,0.8217054263565893
addressbook,DS_VISUAL_PDiff_modelsize100epoch31,VISUAL_PDiff,Gaussian Naive Bayes,0.7203339296362552,0.7537212449255751,0.9138638228055784,0.2861491628614916,0.8261030774935113
addressbook,DS_VISUAL_PDiff_modelsize100epoch31,VISUAL_PDiff,Random Forest,0.7394156231365534,0.8173701298701299,0.8260869565217391,0.5160575858250277,0.8217054263565893
addressbook,DS_VISUAL_PDiff_modelsize100epoch31,VISUAL_PDiff,Ensemble,0.7793679189028027,0.8025659301496793,0.9237079573420836,0.4945355191256831,0.858886346300534
addressbook,DS_VISUAL_PDiff_modelsize100epoch31,VISUAL_PDiff,Neural Network,0.7268932617769827,0.7268932617769827,1.0,0.0,0.8418508287292816
claroline,DS_DOM_RTED_modelsize100epoch31,DOM_RTED,Dummy,0.734946539110861,0.8323471400394478,0.854251012145749,0.1451905626134301,0.8431568431568431
claroline,DS_DOM_RTED_modelsize100epoch31,DOM_RTED,Threshold,0.03733400465731,1.0,0.03733400465731,0.0719806821904842,0.0719806821904842
claroline,DS_DOM_RTED_modelsize100epoch31,DOM_RTED,Nearest Neighbors,0.9997186268992684,1.0,0.9996626180836709,0.9991532599491956,0.9998312805803948
claroline,DS_DOM_RTED_modelsize100epoch31,DOM_RTED,SVM RBF,0.9997186268992684,1.0,0.9996626180836709,0.9991532599491956,0.9998312805803948
claroline,DS_DOM_RTED_modelsize100epoch31,DOM_RTED,Decision Tree,0.9997186268992684,1.0,0.9996626180836709,0.9991532599491956,0.9998312805803948
claroline,DS_DOM_RTED_modelsize100epoch31,DOM_RTED,Gaussian Naive Bayes,0.9997186268992684,1.0,0.9996626180836709,0.9991532599491956,0.9998312805803948
claroline,DS_DOM_RTED_modelsize100epoch31,DOM_RTED,Random Forest,0.9997186268992684,1.0,0.9996626180836709,0.9991532599491956,0.9998312805803948
claroline,DS_DOM_RTED_modelsize100epoch31,DOM_RTED,Ensemble,0.9997186268992684,1.0,0.9996626180836709,0.9991532599491956,0.9998312805803948
claroline,DS_DOM_RTED_modelsize100epoch31,DOM_RTED,Neural Network,0.9997186268992684,1.0,0.9996626180836709,0.9991532599491956,0.9998312805803948
claroline,DS_VISUAL_PDiff_modelsize100epoch31,VISUAL_PDiff,Dummy,0.7324141812042769,0.8333885392514078,0.8488529014844804,0.1546666666666666,0.8410496406485042
claroline,DS_VISUAL_PDiff_modelsize100epoch31,VISUAL_PDiff,Threshold,0.0767449178677072,1.0,0.0767449178677072,0.1425498585490168,0.1425498585490168
claroline,DS_VISUAL_PDiff_modelsize100epoch31,VISUAL_PDiff,Nearest Neighbors,0.9994372537985368,0.9996626180836709,0.9996626180836709,0.9983050847457628,0.9996626180836709
claroline,DS_VISUAL_PDiff_modelsize100epoch31,VISUAL_PDiff,SVM RBF,0.998030388294879,0.9996620479891856,0.9979757085020244,0.9940928270042196,0.9988181664696943
claroline,DS_VISUAL_PDiff_modelsize100epoch31,VISUAL_PDiff,Decision Tree,0.9994372537985368,0.9996626180836709,0.9996626180836709,0.9983050847457628,0.9996626180836709
claroline,DS_VISUAL_PDiff_modelsize100epoch31,VISUAL_PDiff,Gaussian Naive Bayes,0.9991558806978053,0.9996625042186972,0.9993252361673416,0.9974597798475868,0.9994938417411844
claroline,DS_VISUAL_PDiff_modelsize100epoch31,VISUAL_PDiff,Random Forest,0.9994372537985368,0.9996626180836709,0.9996626180836709,0.9983050847457628,0.9996626180836709
claroline,DS_VISUAL_PDiff_modelsize100epoch31,VISUAL_PDiff,Ensemble,0.9994372537985368,0.9996626180836709,0.9996626180836709,0.9983050847457628,0.9996626180836709
claroline,DS_VISUAL_PDiff_modelsize100epoch31,VISUAL_PDiff,Neural Network,0.9969048958919527,0.9996615905245348,0.9966261808367072,0.990748528174937,0.9981415779692516
