Embedding,Classifier,Precision,Accuracy,Recall,F1 (clone as positive class),F1 (distinct as positive class)
Content only,Nearest Neighbors,0.5424050632911392,0.6287255909558068,0.5427485750474984,0.5425767647989871,0.6875675675675675
Content only,Linear SVM,0.0,0.5942959917780062,0.0,0.0,0.7455278001611604
Content only,RBF SVM,0.5641316685584563,0.6523638232271326,0.629512349588347,0.5950314277162526,0.6954760297096556
Content only,Decision Tree,0.6191732629727352,0.6639260020554985,0.44585180493983534,0.5184094256259204,0.7419100236779794
Content only,Random Forest,0.6159479251423922,0.6675231243576567,0.47941735275490815,0.5391737891737891,0.739951768488746
Content only,Neural Net,0.5807228915662651,0.6631551901336074,0.61051298290057,0.5952454461253474,0.7115511551155116
Content only,AdaBoost,0.6356382978723404,0.6729188078108942,0.45408486383787205,0.5297377170299223,0.7492613748276542
Content only,Naive Bayes,0.5026061057334326,0.5978931140801644,0.8549715009499683,0.6330597889800703,0.5552713839158852
Content only,QDA,0.5026061057334326,0.5978931140801644,0.8549715009499683,0.6330597889800703,0.5552713839158852
Tags only,Nearest Neighbors,0.5012594458438288,0.5953237410071942,0.5041165294490184,0.5026839280075782,0.6588693957115009
Tags only,Linear SVM,0.0,0.5942959917780062,0.0,0.0,0.7455278001611604
Tags only,RBF SVM,0.0,0.5942959917780062,0.0,0.0,0.7455278001611604
Tags only,Decision Tree,0.5350180505415163,0.619218910585817,0.46928435718809375,0.5,0.6925311203319503
Tags only,Random Forest,0.5378940308517773,0.6233299075025693,0.5079164027865738,0.5224755700325733,0.6890114552397115
Tags only,Neural Net,0.5415162454873647,0.6061151079136691,0.18999366687777075,0.2812939521800282,0.7287205804282428
Tags only,AdaBoost,0.5458362491252624,0.6279547790339157,0.49398353388220395,0.5186170212765957,0.696817420435511
Tags only,Naive Bayes,0.48216039279869066,0.566289825282631,0.9328689043698544,0.6357358653431161,0.4641269841269841
Tags only,QDA,0.48216039279869066,0.566289825282631,0.9328689043698544,0.6357358653431161,0.4641269841269841
Content and tags,Nearest Neighbors,0.5837468982630273,0.6636690647482014,0.5959468017732742,0.5897837668442494,0.715001088613107
Content and tags,Linear SVM,0.0,0.5942959917780062,0.0,0.0,0.7455278001611604
Content and tags,RBF SVM,0.6047149122807017,0.6924460431654677,0.6985433818872704,0.6482515427563913,0.7267747089705546
Content and tags,Decision Tree,0.6222501571338781,0.6942446043165468,0.6269791006966434,0.6246056782334385,0.7420892934547031
Content and tags,Random Forest,0.5937915742793791,0.7029804727646455,0.8480050664977834,0.6984872196139802,0.7073417721518986
Content and tags,Neural Net,0.6222972972972973,0.6873072970195272,0.5832805573147561,0.602157567832625,0.7424338624338623
Content and tags,AdaBoost,0.5771265771265771,0.6916752312435765,0.8980367321089296,0.7026759167492566,0.67982924226254
Content and tags,Naive Bayes,0.5418470418470418,0.6539054470709147,0.9512349588347055,0.6904159963226845,0.6076318089134867
Content and tags,QDA,0.5418470418470418,0.6539054470709147,0.9512349588347055,0.6904159963226845,0.6076318089134867
Ensamble,Nearest Neighbors,0.6389380530973451,0.7153134635149023,0.6858771374287523,0.6615760537568723,0.7543237250554323
Ensamble,Linear SVM,0.0,0.5942959917780062,0.0,0.0,0.7455278001611604
Ensamble,RBF SVM,0.632183908045977,0.7420349434737924,0.8708043065231159,0.7325519445924347,0.7508684863523573
Ensamble,Decision Tree,0.6259090909090909,0.736639260020555,0.8720709309689677,0.7287642233395077,0.7440699126092385
Ensamble,Random Forest,0.630325240494732,0.7404933196300103,0.8714376187460418,0.731525784157363,0.7488811536548982
Ensamble,Neural Net,0.6329501915708812,0.6834532374100719,0.5231158961367954,0.5728155339805824,0.7485714285714286
Ensamble,AdaBoost,0.6355685131195336,0.737667009249743,0.8283723875870804,0.7192741270277702,0.7537979262117194
Ensamble,Naive Bayes,0.5098841172460804,0.6091983556012333,0.94743508549715,0.6629736317305561,0.5350045857535922
Ensamble,QDA,0.583171772004653,0.7045220966084276,0.9525015832805573,0.7234247234247234,0.68284611141754
