Model,Embedding,Classifier,Accuracy,Precision,Recall,F1
DS_content_modelsize100epoch10,Content only,Nearest Neighbors,0.8660436137071651,0.9094827586206896,0.9055793991416308,0.9075268817204302
DS_content_modelsize100epoch10,Content only,SVM RBF,0.885773624091381,0.9362962962962964,0.9041487839771102,0.9199417758369725
DS_content_modelsize100epoch10,Content only,Decision Tree,0.8276220145379024,0.8780141843971632,0.8855507868383404,0.8817663817663817
DS_content_modelsize100epoch10,Content only,Gaussian Naive Bayes,0.8598130841121495,0.876,0.9399141630901288,0.906832298136646
DS_content_modelsize100epoch10,Content only,Random Forest,0.8276220145379024,0.8780141843971632,0.8855507868383404,0.8817663817663817
DS_content_modelsize100epoch10,Content only,Ensemble,0.8681204569055037,0.9097421203438396,0.9084406294706724,0.9090909090909092
DS_tags_modelsize100epoch10,Tags only,Nearest Neighbors,0.9470404984423676,0.9462809917355371,0.9828326180257512,0.9642105263157894
DS_tags_modelsize100epoch10,Tags only,SVM RBF,0.940809968847352,0.9326145552560648,0.9899856938483548,0.9604441360166552
DS_tags_modelsize100epoch10,Tags only,Decision Tree,0.9044652128764278,0.9366906474820144,0.9313304721030042,0.9340028694404592
DS_tags_modelsize100epoch10,Tags only,Gaussian Naive Bayes,0.9470404984423676,0.943835616438356,0.9856938483547926,0.9643107067879636
DS_tags_modelsize100epoch10,Tags only,Random Forest,0.9044652128764278,0.9366906474820144,0.9313304721030042,0.9340028694404592
DS_tags_modelsize100epoch10,Tags only,Ensemble,0.9439252336448598,0.9423868312757202,0.9828326180257512,0.9621848739495796
DS_content_tags_modelsize100epoch10,Content and tags,Nearest Neighbors,0.9075804776739356,0.9407514450867052,0.9313304721030042,0.936017253774263
DS_content_tags_modelsize100epoch10,Content and tags,SVM RBF,0.9044652128764278,0.9430656934306569,0.9241773962804005,0.9335260115606937
DS_content_tags_modelsize100epoch10,Content and tags,Decision Tree,0.8701973001038421,0.9088319088319088,0.9127324749642346,0.9107780157030693
DS_content_tags_modelsize100epoch10,Content and tags,Gaussian Naive Bayes,0.8920041536863966,0.9080932784636488,0.9470672389127325,0.927170868347339
DS_content_tags_modelsize100epoch10,Content and tags,Random Forest,0.8712357217030114,0.9089615931721194,0.9141630901287554,0.9115549215406561
DS_content_tags_modelsize100epoch10,Content and tags,Ensemble,0.90134994807892,0.9339080459770115,0.9298998569384835,0.931899641577061
